Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
3/1/2023,0.254,0.256,0.25,0.253,71671057.1,4/1/2023,18118088.32,35667,34921017.9,8830214.007,0
2/1/2023,0.25,0.257,0.247,0.254,75458284.6,3/1/2023,19077666.04,41366,39026007.3,9868596.143,0
1/1/2023,0.246,0.25,0.243,0.25,49487029.5,2/1/2023,12195300.86,26077,26260163.2,6472306.009,0
31-12-2022,0.246,0.252,0.244,0.246,66923069.1,1/1/2023,16567527.42,34227,34093672.2,8443897.548,0
30-12-2022,0.244,0.246,0.239,0.246,77783257,31-12-2022,18898369.32,43934,37351098.4,9078758.469,0
29-12-2022,0.248,0.248,0.24,0.244,119235796.6,30-12-2022,29131442.01,63007,56414966.1,13782275.45,0
28-12-2022,0.26,0.261,0.247,0.248,115688916.7,29-12-2022,29202569.66,58223,55361595.5,13973456.33,0
27-12-2022,0.265,0.267,0.256,0.26,59557924.7,28-12-2022,15564607.26,36071,28722733.5,7506920.227,0
26-12-2022,0.259,0.266,0.258,0.265,61775474.3,27-12-2022,16140480.5,35406,32958847.9,8615577.103,0
25-12-2022,0.259,0.26,0.255,0.259,46627019.2,26-12-2022,12008927.17,28303,21194036.7,5461626.599,0
24-12-2022,0.259,0.26,0.257,0.259,32054310.5,25-12-2022,8287131.301,22102,15585488,4030623.499,0
23-12-2022,0.257,0.264,0.255,0.259,74119327.5,24-12-2022,19200654.62,46556,38157079.7,9884956.476,0
22-12-2022,0.253,0.257,0.246,0.257,78100191.4,23-12-2022,19714944.87,46739,39630851.8,10007593.15,0
21-12-2022,0.259,0.259,0.248,0.253,93178931.7,22-12-2022,23527156.53,57581,45172996.7,11404346.36,0
20-12-2022,0.253,0.262,0.251,0.259,79578969.4,21-12-2022,20468913.65,53843,40871795,10512893.76,0
19-12-2022,0.266,0.269,0.249,0.253,109679881.2,20-12-2022,28451460.05,73700,52457995.8,13628818.55,0
18-12-2022,0.267,0.271,0.263,0.266,90386512.2,19-12-2022,24138629.78,55328,44039307.1,11766153.32,0
17-12-2022,0.263,0.268,0.259,0.267,164203460.7,18-12-2022,43257420.04,120298,82745814.5,21807132.58,0
16-12-2022,0.3,0.301,0.255,0.263,218355848.5,17-12-2022,61106298.14,176444,95545914.52,26714221.63,0
15-12-2022,0.308,0.309,0.296,0.3,88292967.3,16-12-2022,26642862.92,64079,41583089.5,12547361.61,0
14-12-2022,0.314,0.316,0.305,0.308,91418405.6,15-12-2022,28377028.15,74395,43130288.7,13392421.63,0
13-12-2022,0.307,0.319,0.299,0.314,125438617.5,14-12-2022,38715909.18,98882,61741895.9,19058537.43,0
12/12/2022,0.307,0.308,0.3,0.307,59718587.9,13-12-2022,18189907.88,51594,26923983.6,8200617.468,0
11/12/2022,0.313,0.315,0.305,0.307,38521495.3,12/12/2022,11960293.98,35310,17165368.9,5330292.025,0
10/12/2022,0.312,0.315,0.311,0.313,23073305.7,11/12/2022,7211506.523,23782,11003922.9,3439620.004,0
9/12/2022,0.314,0.317,0.309,0.312,50246553.9,10/12/2022,15725182.94,47471,21834500.9,6833860.874,0
8/12/2022,0.31,0.316,0.307,0.315,55078149.3,9/12/2022,17135098.54,45329,27373504.3,8520245.519,0
7/12/2022,0.318,0.32,0.307,0.31,80392338,8/12/2022,25000761.5,68326,37963202.6,11807115.13,0
6/12/2022,0.319,0.321,0.314,0.318,54889434.1,7/12/2022,17402842.34,59086,25923424.1,8219130.365,0
5/12/2022,0.322,0.329,0.316,0.319,68934870.6,6/12/2022,22271877.7,67193,32275468.2,10432506.65,0
4/12/2022,0.32,0.324,0.318,0.322,58073868.4,5/12/2022,18651173.88,54498,29052597.3,9332715.758,0
3/12/2022,0.319,0.327,0.316,0.32,88483029.8,4/12/2022,28444511.33,75652,45162198.2,14521168.64,0
2/12/2022,0.314,0.32,0.311,0.319,62310109.4,3/12/2022,19680755.31,68405,31244264.5,9871578.111,0
1/12/2022,0.319,0.32,0.312,0.315,69894876.1,2/12/2022,22092331.39,66918,34517831.4,10913517.76,0
30-11-2022,0.309,0.321,0.308,0.319,103696273.3,1/12/2022,32673410.82,98864,53367839.3,16824429.47,0
29-11-2022,0.307,0.313,0.304,0.309,63045432.9,30-11-2022,19488880.02,60043,34532956.8,10676903.92,0
28-11-2022,0.313,0.314,0.3,0.307,118919688.1,29-11-2022,36327273.86,101855,57593343.2,17602394.47,0
